ts,price_now,market_now
2025-10-22T11:37:11.454403,0.0,0.0
2025-10-22T11:49:44.138781,0.0,0.0
2025-10-22T12:30:39.934321,0.0,0.0
2025-10-22T16:31:31.679120,0.0,0.0
2025-10-22T16:33:47.091284,0.0,0.0
2025-10-22T19:31:57.387185,0.0,0.0
2025-10-22T19:33:02.281618,5.785,5.785
2025-10-23T08:39:48.814502,5.79,5.79
2025-10-23T16:35:57.808627,5.79,5.79
2025-10-24T08:32:20.085339,0.0,0.0
2025-10-24T16:31:18.373301,5.67,5.67
2025-10-25T08:31:41.717719,64.805,64.805
2025-10-25T16:27:49.953424,5.72,5.72
2025-10-26T08:33:38.337141,5.6049999999999995,5.6049999999999995
2025-10-26T16:36:23.140137,0.0,0.0
2025-10-27T08:34:02.951056,5.5649999999999995,5.5649999999999995
2025-10-27T16:33:55.331676,5.5649999999999995,5.5649999999999995
2025-10-28T08:42:34.157380,64.805,64.805
2025-10-28T16:34:25.807393,0.0,0.0
2025-10-29T08:40:24.226915,64.805,64.805
2025-10-29T16:40:50.902461,64.805,64.805
2025-10-30T08:41:20.778503,64.805,64.805
2025-10-30T16:34:13.622979,5.26,5.26
2025-10-31T08:31:41.133487,0.0,0.0
2025-10-31T16:29:47.582984,0.0,0.0
2025-11-01T08:33:55.141435,4.875,4.875
2025-11-01T16:33:31.656646,4.875,4.875
2025-11-02T08:30:11.871933,0.0,0.0
2025-11-02T16:26:21.761608,66.215,66.215
2025-11-03T08:42:39.938338,66.215,66.215
2025-11-03T20:36:58.915121,0.0,0.0
2025-11-04T04:29:20.199677,4.8,4.8
2025-11-04T08:33:41.065827,0.0,0.0
2025-11-04T12:48:21.010006,0.0,0.0
2025-11-04T16:28:16.710222,0.0,0.0
2025-11-04T20:31:30.005237,66.515,66.515
2025-11-05T04:27:29.672409,4.715,4.715
2025-11-05T08:30:36.308704,0.0,0.0
2025-11-05T12:56:38.333791,0.0,0.0
2025-11-05T16:31:53.568174,0.0,0.0
2025-11-05T20:34:16.358549,66.515,66.515
2025-11-06T04:28:43.269071,0.0,0.0
2025-11-06T08:31:17.726769,0.0,0.0
2025-11-06T12:50:41.209620,4.285,4.285
2025-11-06T16:28:55.499116,66.515,66.515
2025-11-06T20:30:03.902303,4.285,4.285
2025-11-07T04:24:18.840483,0.0,0.0
2025-11-07T08:35:21.003459,66.515,66.515
2025-11-07T12:43:11.608147,0.0,0.0
2025-11-07T16:25:32.897113,4.305,4.305
2025-11-07T20:22:01.796420,4.305,4.305
2025-11-08T04:26:11.454132,4.305,4.305
2025-11-08T08:36:52.092329,66.515,66.515
2025-11-08T12:43:57.675222,66.515,66.515
2025-11-08T16:30:54.513058,0.0,0.0
2025-11-08T20:27:54.304876,5.41,5.41
2025-11-09T04:27:42.909502,66.515,66.515
2025-11-09T08:30:46.398320,5.545,5.545
2025-11-09T12:47:39.761219,0.0,0.0
2025-11-09T16:28:34.238526,66.515,66.515
2025-11-09T20:26:08.456143,5.545,5.545
2025-11-10T04:30:43.615894,5.545,5.545
2025-11-10T08:32:34.700141,5.654999999999999,5.654999999999999
2025-11-10T12:50:26.817327,66.515,66.515
2025-11-10T16:35:38.624721,5.654999999999999,5.654999999999999
2025-11-10T20:29:59.213420,5.654999999999999,5.654999999999999
2025-11-11T04:28:09.824931,5.654999999999999,5.654999999999999
2025-11-11T08:33:14.098529,5.55,5.55
2025-11-11T12:53:31.630729,66.515,66.515
2025-11-11T16:28:54.356570,0.0,0.0
2025-11-11T20:25:50.785174,0.0,0.0
2025-11-12T04:29:31.499670,5.55,5.55
2025-11-12T08:35:43.747321,66.515,66.515
2025-11-12T12:46:42.324329,66.515,66.515
2025-11-12T16:29:12.029728,0.0,0.0
2025-11-12T20:28:33.892844,5.565,5.565
2025-11-13T04:31:34.999060,66.515,66.515
2025-11-13T08:33:01.043526,5.585,5.585
2025-11-13T12:45:53.840200,0.0,0.0
2025-11-13T16:26:59.812430,0.0,0.0
2025-11-13T20:24:49.326724,5.585,5.585
2025-11-14T04:25:35.894326,5.585,5.585
2025-11-14T08:28:38.347923,0.0,0.0
2025-11-14T12:47:21.422560,5.6,5.6
2025-11-14T16:38:46.786116,66.515,66.515
2025-11-14T20:34:45.325766,66.515,66.515
2025-11-15T04:29:54.013483,5.6,5.6
2025-11-15T08:32:28.592095,66.515,66.515
2025-11-15T12:47:59.469468,66.515,66.515
2025-11-15T16:32:47.306874,5.605,5.605
2025-11-15T20:22:42.670643,5.605,5.605
2025-11-16T04:33:37.311647,66.515,66.515
2025-11-16T08:34:14.269231,66.515,66.515
2025-11-16T12:49:09.378512,66.515,66.515
2025-11-16T16:30:58.816777,0.0,0.0
2025-11-16T20:24:31.869930,5.61,5.61
2025-11-17T04:37:55.035930,0.0,0.0
2025-11-17T08:31:15.281866,66.515,66.515
2025-11-17T12:48:55.934109,0.0,0.0
2025-11-17T16:39:29.719501,0.0,0.0
2025-11-17T20:30:34.491761,5.545,5.545
2025-11-18T04:34:54.941721,5.545,5.545
2025-11-18T08:35:59.149672,5.465,5.465
2025-11-18T12:44:48.785205,0.0,0.0
2025-11-18T16:30:49.967542,0.0,0.0
2025-11-18T20:27:02.919685,0.0,0.0
2025-11-19T04:33:50.718517,67.02499999999999,67.02499999999999
2025-11-19T08:30:55.156241,0.0,0.0
2025-11-19T12:46:49.793894,5.4,5.4
2025-11-19T16:29:26.617401,0.0,0.0
2025-11-19T20:23:54.619387,5.4,5.4
2025-11-20T04:32:10.822447,67.02499999999999,67.02499999999999
2025-11-20T08:34:26.639131,5.415,5.415
2025-11-20T12:46:31.935424,0.0,0.0
2025-11-20T16:29:47.762426,0.0,0.0
2025-11-20T20:28:09.478696,0.0,0.0
2025-11-21T04:33:36.454998,0.0,0.0
2025-11-21T08:30:06.428897,0.0,0.0
2025-11-21T12:42:22.998910,0.0,0.0
2025-11-21T16:29:24.314613,0.0,0.0
2025-11-21T20:28:34.776691,5.4350000000000005,5.4350000000000005
2025-11-22T04:28:53.028544,5.4350000000000005,5.4350000000000005
2025-11-22T08:32:32.899267,67.02499999999999,67.02499999999999
